A,B,C,D,E,F,G,Predicted_SpecificSE
1.3039215839241467,1.6093843379205925,0.3294954871797276,2.228627256579613,0.26730482496307995,0.25357675355988973,0.14887623896393518,421430400.0
1.3190975242801677,1.6326647923654176,0.29137493558781546,2.239797483521862,0.2662824665020028,0.23489160812326937,0.1547653685355115,421408704.0
1.3034604784326844,1.6101910875515935,0.24531546773870735,2.383166752386936,0.27165134624163406,0.23234050878517587,0.15750353462475666,419973184.0
1.196032934932814,1.641226241382718,0.32662823174712263,2.1741946535479215,0.2619586121127467,0.26374885771199647,0.15687248664448153,419833024.0
1.1768028862199231,1.609349100700204,0.32421691783266215,2.224225847722571,0.2671013435534273,0.26072432764583287,0.13077728016318202,419337664.0
1.347669551166721,1.6369569007961187,0.29709559839935235,2.7938093826756747,0.26881378187318944,0.2441457566792832,0.16318218500828763,419159328.0
1.2973827533792235,1.6104423187026906,0.285191345172694,2.2584016317452638,0.2688883251179518,0.2369666567181333,0.1753852416093234,418920352.0
1.1511548156661808,1.6405490624264027,0.3478218332097662,2.307472969511867,0.27401529176093686,0.26516808383373225,0.14653221280100637,418659168.0
1.2449349777034675,1.6095835905742573,0.3221040368610419,2.7011233169604605,0.26849527754408015,0.24995518154684124,0.1609965930011316,418220192.0
1.1689911375635191,1.610432852017744,0.3126167443807758,2.3096020586279167,0.2582409918947278,0.2527507071621589,0.14653973567631526,418157984.0
